class,feature,category,r_obs,p_perm,sig_perm,null_mean,null_std
ARSS_crop,Wavelet_L1_H,Frequency,0.143,0.756,,0.143,0.0
ARSS_crop,Wavelet_L1_V,Frequency,0.1137,0.684,,0.1137,0.0
ARSS_crop,Wavelet_L2_D,Frequency,0.0351,0.463,,0.0351,0.0
ARSS_crop,Wavelet_L2_H,Frequency,0.1223,0.356,,0.1223,0.0
ARSS_crop,Wavelet_L2_V,Frequency,0.1148,0.974,,0.1148,0.0
PJNA_crop,Brightness,Color,0.42,0.878,,0.42,0.0
PJNA_crop,Curvature_Laplacian,Edge_Shape,0.062,0.975,,0.062,0.0
PJNA_crop,DistanceTransform,Edge_Shape,0.2302,0.86,,0.2302,0.0
PJNA_crop,Edge_Sobel,Edge_Shape,0.0405,0.749,,0.0405,0.0
PJNA_crop,FFT_HighPass,Frequency,0.0766,0.997,,0.0766,0.0
PJNA_crop,FFT_LowPass,Frequency,0.4117,0.999,,0.4117,0.0
PJNA_crop,FourierDescriptor,Edge_Shape,-0.2264,0.513,,-0.2264,0.0
PJNA_crop,Gabor_f0.1_t0°,Texture,0.0689,1.0,,0.0689,0.0
PJNA_crop,Gabor_f0.1_t135°,Texture,0.0766,0.286,,0.0766,0.0
PJNA_crop,Gabor_f0.1_t45°,Texture,0.094,0.849,,0.094,0.0
PJNA_crop,Gabor_f0.1_t90°,Texture,0.1008,0.518,,0.1008,0.0
PJNA_crop,Gabor_f0.2_t0°,Texture,0.091,0.598,,0.091,0.0
PJNA_crop,Gabor_f0.2_t135°,Texture,0.1168,0.978,,0.1168,0.0
PJNA_crop,Gabor_f0.2_t45°,Texture,0.13,0.661,,0.13,0.0
PJNA_crop,Gabor_f0.2_t90°,Texture,0.106,0.781,,0.106,0.0
PJNA_crop,Gabor_f0.3_t0°,Texture,0.0947,0.595,,0.0947,0.0
PJNA_crop,Gabor_f0.3_t135°,Texture,0.1093,0.282,,0.1093,0.0
PJNA_crop,Gabor_f0.3_t45°,Texture,0.1129,0.948,,0.1129,0.0
PJNA_crop,Gabor_f0.3_t90°,Texture,0.1014,0.911,,0.1014,0.0
PJNA_crop,LAB_Chroma,Color,0.3663,0.828,,0.3663,0.0
PJNA_crop,LAB_L,Color,0.4216,0.321,,0.4216,0.0
PJNA_crop,LBP,Texture,-0.0261,0.992,,-0.0261,0.0
PJNA_crop,Saturation_HSV,Color,-0.0949,0.971,,-0.0949,0.0
PJNA_crop,Wavelet_L1_D,Frequency,0.122,0.855,,0.122,0.0
PJNA_crop,Wavelet_L1_H,Frequency,0.1124,0.993,,0.1124,0.0
PJNA_crop,Wavelet_L1_V,Frequency,0.0819,0.98,,0.0819,0.0
PJNA_crop,Wavelet_L2_D,Frequency,0.1048,0.988,,0.1048,0.0
PJNA_crop,Wavelet_L2_H,Frequency,0.1146,0.762,,0.1146,0.0
PJNA_crop,Wavelet_L2_V,Frequency,0.0969,0.683,,0.0969,0.0
PRDA_crop,Brightness,Color,0.4929,1.0,,0.4929,0.0
PRDA_crop,Curvature_Laplacian,Edge_Shape,0.0685,0.963,,0.0685,0.0
PRDA_crop,DistanceTransform,Edge_Shape,0.3558,1.0,,0.3558,0.0
PRDA_crop,Edge_Sobel,Edge_Shape,-0.0123,0.667,,-0.0123,0.0
PRDA_crop,FFT_HighPass,Frequency,0.0499,0.591,,0.0499,0.0
PRDA_crop,FFT_LowPass,Frequency,0.4935,0.967,,0.4935,0.0
PRDA_crop,FourierDescriptor,Edge_Shape,-0.3682,0.179,,-0.3682,0.0
PRDA_crop,Gabor_f0.1_t0°,Texture,0.0309,0.839,,0.0309,0.0
PRDA_crop,Gabor_f0.1_t135°,Texture,0.0349,0.967,,0.0349,0.0
PRDA_crop,Gabor_f0.1_t45°,Texture,0.0671,0.661,,0.0671,0.0
PRDA_crop,Gabor_f0.1_t90°,Texture,0.0637,0.166,,0.0637,0.0
PRDA_crop,Gabor_f0.2_t0°,Texture,0.1104,0.05,,0.1104,0.0
PRDA_crop,Gabor_f0.2_t135°,Texture,0.0735,0.384,,0.0735,0.0
PRDA_crop,Gabor_f0.2_t45°,Texture,0.1419,0.445,,0.1419,0.0
PRDA_crop,Gabor_f0.2_t90°,Texture,0.0617,0.49,,0.0617,0.0
PRDA_crop,Gabor_f0.3_t0°,Texture,0.1606,0.992,,0.1606,0.0
PRDA_crop,Gabor_f0.3_t135°,Texture,0.0931,0.433,,0.0931,0.0
PRDA_crop,Gabor_f0.3_t45°,Texture,0.1657,0.852,,0.1657,0.0
PRDA_crop,Gabor_f0.3_t90°,Texture,0.0813,0.788,,0.0813,0.0
PRDA_crop,LAB_Chroma,Color,0.4202,0.904,,0.4202,0.0
PRDA_crop,LAB_L,Color,0.4949,0.763,,0.4949,0.0
PRDA_crop,LBP,Texture,0.0259,0.55,,0.0259,0.0
PRDA_crop,Saturation_HSV,Color,-0.041,0.652,,-0.041,0.0
PRDA_crop,Wavelet_L1_D,Frequency,0.1178,0.258,,0.1178,0.0
PRDA_crop,Wavelet_L1_H,Frequency,0.0236,0.775,,0.0236,0.0
PRDA_crop,Wavelet_L1_V,Frequency,0.0528,0.935,,0.0528,0.0
PRDA_crop,Wavelet_L2_D,Frequency,0.1453,0.747,,0.1453,0.0
PRDA_crop,Wavelet_L2_H,Frequency,0.0719,0.959,,0.0719,0.0
PRDA_crop,Wavelet_L2_V,Frequency,0.139,0.598,,0.139,0.0
PRPE_crop,Brightness,Color,0.4485,0.581,,0.4485,0.0
PRPE_crop,Curvature_Laplacian,Edge_Shape,0.0616,1.0,,0.0616,0.0
PRPE_crop,DistanceTransform,Edge_Shape,0.4046,1.0,,0.4046,0.0
PRPE_crop,Edge_Sobel,Edge_Shape,-0.0692,0.819,,-0.0692,0.0
PRPE_crop,FFT_HighPass,Frequency,0.0405,1.0,,0.0405,0.0
PRPE_crop,FFT_LowPass,Frequency,0.4444,1.0,,0.4444,0.0
PRPE_crop,FourierDescriptor,Edge_Shape,-0.4142,0.469,,-0.4142,0.0
PRPE_crop,Gabor_f0.1_t0°,Texture,0.0084,0.493,,0.0084,0.0
PRPE_crop,Gabor_f0.1_t135°,Texture,0.026,0.923,,0.026,0.0
PRPE_crop,Gabor_f0.1_t45°,Texture,-0.0143,0.902,,-0.0143,0.0
PRPE_crop,Gabor_f0.1_t90°,Texture,0.0822,1.0,,0.0822,0.0
PRPE_crop,Gabor_f0.2_t0°,Texture,0.0517,0.999,,0.0517,0.0
PRPE_crop,Gabor_f0.2_t135°,Texture,0.0351,0.69,,0.0351,0.0
PRPE_crop,Gabor_f0.2_t45°,Texture,0.0687,0.284,,0.0687,0.0
PRPE_crop,Gabor_f0.2_t90°,Texture,0.0558,1.0,,0.0558,0.0
PRPE_crop,Gabor_f0.3_t0°,Texture,0.1178,0.991,,0.1178,0.0
PRPE_crop,Gabor_f0.3_t135°,Texture,0.071,1.0,,0.071,0.0
PRPE_crop,Gabor_f0.3_t45°,Texture,0.1006,1.0,,0.1006,0.0
PRPE_crop,Gabor_f0.3_t90°,Texture,0.0574,0.763,,0.0574,0.0
PRPE_crop,LAB_Chroma,Color,0.4234,0.887,,0.4234,0.0
PRPE_crop,LAB_L,Color,0.4526,0.906,,0.4526,0.0
PRPE_crop,LBP,Texture,0.0242,0.681,,0.0242,0.0
PRPE_crop,Saturation_HSV,Color,0.0321,1.0,,0.0321,0.0
PRPE_crop,Wavelet_L1_D,Frequency,0.0766,0.513,,0.0766,0.0
PRPE_crop,Wavelet_L1_H,Frequency,-0.0036,0.817,,-0.0036,0.0
PRPE_crop,Wavelet_L1_V,Frequency,0.0114,0.697,,0.0114,0.0
PRPE_crop,Wavelet_L2_D,Frequency,0.1216,0.99,,0.1216,0.0
PRPE_crop,Wavelet_L2_H,Frequency,0.049,1.0,,0.049,0.0
PRPE_crop,Wavelet_L2_V,Frequency,0.1093,0.039,*,0.1093,0.0
